timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1574706601941,23,HTTP Request,200,OK,Thread Group 1-1,text,true,,26121,115,1,1,http://192.168.16.69/,14,0,1
1574706602001,13,HTTP Request,200,OK,Thread Group 1-2,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,1
1574706602058,16,HTTP Request,200,OK,Thread Group 1-3,text,true,,26121,115,1,1,http://192.168.16.69/,10,0,1
1574706602123,28,HTTP Request,200,OK,Thread Group 1-4,text,true,,26121,115,1,1,http://192.168.16.69/,16,0,1
1574706602177,23,HTTP Request,200,OK,Thread Group 1-5,text,true,,26121,115,1,1,http://192.168.16.69/,14,0,0
1574706602236,23,HTTP Request,200,OK,Thread Group 1-6,text,true,,26121,115,1,1,http://192.168.16.69/,14,0,0
1574706602295,25,HTTP Request,200,OK,Thread Group 1-7,text,true,,26121,115,1,1,http://192.168.16.69/,15,0,1
1574706602354,18,HTTP Request,200,OK,Thread Group 1-8,text,true,,26121,115,1,1,http://192.168.16.69/,11,0,0
1574706602412,14,HTTP Request,200,OK,Thread Group 1-9,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,0
1574706602472,45,HTTP Request,200,OK,Thread Group 1-10,text,true,,26121,115,1,1,http://192.168.16.69/,34,0,1
1574706602530,22,HTTP Request,200,OK,Thread Group 1-11,text,true,,26121,115,1,1,http://192.168.16.69/,13,0,0
1574706602589,21,HTTP Request,200,OK,Thread Group 1-12,text,true,,26121,115,1,1,http://192.168.16.69/,14,0,1
1574706602648,21,HTTP Request,200,OK,Thread Group 1-13,text,true,,26121,115,1,1,http://192.168.16.69/,13,0,1
1574706602707,28,HTTP Request,200,OK,Thread Group 1-14,text,true,,26121,115,1,1,http://192.168.16.69/,16,0,1
1574706602767,49,HTTP Request,200,OK,Thread Group 1-15,text,true,,26121,115,1,1,http://192.168.16.69/,38,0,1
