timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1574706683227,21,HTTP Request,200,OK,Thread Group 1-1,text,true,,26121,115,1,1,http://192.168.16.69/,13,0,0
1574706683263,21,HTTP Request,200,OK,Thread Group 1-2,text,true,,26121,115,1,1,http://192.168.16.69/,14,0,0
1574706683301,14,HTTP Request,200,OK,Thread Group 1-3,text,true,,26121,115,1,1,http://192.168.16.69/,10,0,0
1574706683339,13,HTTP Request,200,OK,Thread Group 1-4,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706683374,13,HTTP Request,200,OK,Thread Group 1-5,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,1
1574706683411,13,HTTP Request,200,OK,Thread Group 1-6,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,1
1574706683449,13,HTTP Request,200,OK,Thread Group 1-7,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706683492,15,HTTP Request,200,OK,Thread Group 1-8,text,true,,26121,115,1,1,http://192.168.16.69/,10,0,1
1574706683522,15,HTTP Request,200,OK,Thread Group 1-9,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,1
1574706683559,15,HTTP Request,200,OK,Thread Group 1-10,text,true,,26121,115,1,1,http://192.168.16.69/,10,0,1
1574706683597,13,HTTP Request,200,OK,Thread Group 1-11,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,1
1574706683635,51,HTTP Request,200,OK,Thread Group 1-12,text,true,,26121,115,2,2,http://192.168.16.69/,32,0,1
1574706683670,25,HTTP Request,200,OK,Thread Group 1-13,text,true,,26121,115,1,1,http://192.168.16.69/,19,0,1
1574706683707,13,HTTP Request,200,OK,Thread Group 1-14,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,1
1574706683744,13,HTTP Request,200,OK,Thread Group 1-15,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,1
1574706683782,12,HTTP Request,200,OK,Thread Group 1-16,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706683819,13,HTTP Request,200,OK,Thread Group 1-17,text,true,,26121,115,1,1,http://192.168.16.69/,7,0,0
1574706683855,14,HTTP Request,200,OK,Thread Group 1-18,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706683892,15,HTTP Request,200,OK,Thread Group 1-19,text,true,,26121,115,1,1,http://192.168.16.69/,10,0,1
1574706683929,38,HTTP Request,200,OK,Thread Group 1-20,text,true,,26121,115,2,2,http://192.168.16.69/,29,0,1
1574706683966,19,HTTP Request,200,OK,Thread Group 1-21,text,true,,26121,115,1,1,http://192.168.16.69/,12,0,1
1574706684003,12,HTTP Request,200,OK,Thread Group 1-22,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,1
1574706684042,14,HTTP Request,200,OK,Thread Group 1-23,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,1
1574706684077,14,HTTP Request,200,OK,Thread Group 1-24,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,1
1574706684115,13,HTTP Request,200,OK,Thread Group 1-25,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706684151,14,HTTP Request,200,OK,Thread Group 1-26,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,0
1574706684189,14,HTTP Request,200,OK,Thread Group 1-27,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706684226,13,HTTP Request,200,OK,Thread Group 1-28,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706684262,13,HTTP Request,200,OK,Thread Group 1-29,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,0
1574706684300,42,HTTP Request,200,OK,Thread Group 1-30,text,true,,26121,115,2,2,http://192.168.16.69/,29,0,1
1574706684337,17,HTTP Request,200,OK,Thread Group 1-31,text,true,,26121,115,1,1,http://192.168.16.69/,12,0,0
1574706684373,13,HTTP Request,200,OK,Thread Group 1-32,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706684411,48,HTTP Request,200,OK,Thread Group 1-33,text,true,,26121,115,2,2,http://192.168.16.69/,30,0,1
1574706684447,21,HTTP Request,200,OK,Thread Group 1-34,text,true,,26121,115,1,1,http://192.168.16.69/,16,0,1
1574706684484,12,HTTP Request,200,OK,Thread Group 1-35,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,1
1574706684522,33,HTTP Request,200,OK,Thread Group 1-36,text,true,,26121,115,1,1,http://192.168.16.69/,25,0,1
1574706684558,16,HTTP Request,200,OK,Thread Group 1-37,text,true,,26121,115,1,1,http://192.168.16.69/,10,0,1
1574706684596,24,HTTP Request,200,OK,Thread Group 1-38,text,true,,26121,115,1,1,http://192.168.16.69/,17,0,0
1574706684633,30,HTTP Request,200,OK,Thread Group 1-39,text,true,,26121,115,1,1,http://192.168.16.69/,22,0,1
1574706684669,12,HTTP Request,200,OK,Thread Group 1-40,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706684707,13,HTTP Request,200,OK,Thread Group 1-41,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,1
1574706684743,13,HTTP Request,200,OK,Thread Group 1-42,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706684780,38,HTTP Request,200,OK,Thread Group 1-43,text,true,,26121,115,2,2,http://192.168.16.69/,29,0,1
1574706684817,16,HTTP Request,200,OK,Thread Group 1-44,text,true,,26121,115,1,1,http://192.168.16.69/,11,0,1
1574706684854,13,HTTP Request,200,OK,Thread Group 1-45,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706684891,13,HTTP Request,200,OK,Thread Group 1-46,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706684928,13,HTTP Request,200,OK,Thread Group 1-47,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,1
1574706684966,35,HTTP Request,200,OK,Thread Group 1-48,text,true,,26121,115,1,1,http://192.168.16.69/,28,0,1
1574706685002,14,HTTP Request,200,OK,Thread Group 1-49,text,true,,26121,115,1,1,http://192.168.16.69/,10,0,1
1574706685039,14,HTTP Request,200,OK,Thread Group 1-50,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,1
1574706685077,13,HTTP Request,200,OK,Thread Group 1-51,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706685114,12,HTTP Request,200,OK,Thread Group 1-52,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706685151,12,HTTP Request,200,OK,Thread Group 1-53,text,true,,26121,115,1,1,http://192.168.16.69/,7,0,0
1574706685188,12,HTTP Request,200,OK,Thread Group 1-54,text,true,,26121,115,1,1,http://192.168.16.69/,7,0,0
1574706685224,42,HTTP Request,200,OK,Thread Group 1-55,text,true,,26121,115,2,2,http://192.168.16.69/,30,0,1
1574706685261,16,HTTP Request,200,OK,Thread Group 1-56,text,true,,26121,115,1,1,http://192.168.16.69/,11,0,1
1574706685298,12,HTTP Request,200,OK,Thread Group 1-57,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706685335,14,HTTP Request,200,OK,Thread Group 1-58,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706685372,15,HTTP Request,200,OK,Thread Group 1-59,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,1
1574706685409,15,HTTP Request,200,OK,Thread Group 1-60,text,true,,26121,115,1,1,http://192.168.16.69/,10,0,1
1574706685448,18,HTTP Request,200,OK,Thread Group 1-61,text,true,,26121,115,1,1,http://192.168.16.69/,12,0,2
1574706685484,17,HTTP Request,200,OK,Thread Group 1-62,text,true,,26121,115,1,1,http://192.168.16.69/,11,0,1
1574706685520,15,HTTP Request,200,OK,Thread Group 1-63,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,1
1574706685558,14,HTTP Request,200,OK,Thread Group 1-64,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,0
1574706685595,16,HTTP Request,200,OK,Thread Group 1-65,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,0
1574706685631,14,HTTP Request,200,OK,Thread Group 1-66,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,0
1574706685668,12,HTTP Request,200,OK,Thread Group 1-67,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706685706,14,HTTP Request,200,OK,Thread Group 1-68,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706685742,15,HTTP Request,200,OK,Thread Group 1-69,text,true,,26121,115,1,1,http://192.168.16.69/,10,0,0
1574706685779,15,HTTP Request,200,OK,Thread Group 1-70,text,true,,26121,115,1,1,http://192.168.16.69/,10,0,0
1574706685817,47,HTTP Request,200,OK,Thread Group 1-71,text,true,,26121,115,2,2,http://192.168.16.69/,30,0,2
1574706685853,19,HTTP Request,200,OK,Thread Group 1-72,text,true,,26121,115,1,1,http://192.168.16.69/,15,0,1
1574706685890,13,HTTP Request,200,OK,Thread Group 1-73,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,1
1574706685927,14,HTTP Request,200,OK,Thread Group 1-74,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,1
1574706685964,14,HTTP Request,200,OK,Thread Group 1-75,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,1
1574706686001,13,HTTP Request,200,OK,Thread Group 1-76,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,1
1574706686039,13,HTTP Request,200,OK,Thread Group 1-77,text,true,,26121,115,1,1,http://192.168.16.69/,7,0,0
1574706686076,14,HTTP Request,200,OK,Thread Group 1-78,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,0
1574706686113,14,HTTP Request,200,OK,Thread Group 1-79,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,0
1574706686149,14,HTTP Request,200,OK,Thread Group 1-80,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706686186,13,HTTP Request,200,OK,Thread Group 1-81,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706686224,13,HTTP Request,200,OK,Thread Group 1-82,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706686260,13,HTTP Request,200,OK,Thread Group 1-83,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,0
1574706686298,30,HTTP Request,200,OK,Thread Group 1-84,text,true,,26121,115,1,1,http://192.168.16.69/,23,0,1
1574706686334,13,HTTP Request,200,OK,Thread Group 1-85,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706686371,12,HTTP Request,200,OK,Thread Group 1-86,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706686408,13,HTTP Request,200,OK,Thread Group 1-87,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,1
1574706686445,14,HTTP Request,200,OK,Thread Group 1-88,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,1
1574706686483,32,HTTP Request,200,OK,Thread Group 1-89,text,true,,26121,115,1,1,http://192.168.16.69/,25,0,1
1574706686519,13,HTTP Request,200,OK,Thread Group 1-90,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,1
1574706686557,13,HTTP Request,200,OK,Thread Group 1-91,text,true,,26121,115,1,1,http://192.168.16.69/,7,0,0
1574706686593,14,HTTP Request,200,OK,Thread Group 1-92,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706686630,12,HTTP Request,200,OK,Thread Group 1-93,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
1574706686667,16,HTTP Request,200,OK,Thread Group 1-94,text,true,,26121,115,1,1,http://192.168.16.69/,11,0,0
1574706686704,33,HTTP Request,200,OK,Thread Group 1-95,text,true,,26121,115,1,1,http://192.168.16.69/,26,0,1
1574706686742,14,HTTP Request,200,OK,Thread Group 1-96,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,0
1574706686778,13,HTTP Request,200,OK,Thread Group 1-97,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,1
1574706686815,15,HTTP Request,200,OK,Thread Group 1-98,text,true,,26121,115,1,1,http://192.168.16.69/,10,0,1
1574706686852,14,HTTP Request,200,OK,Thread Group 1-99,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,1
1574706686889,14,HTTP Request,200,OK,Thread Group 1-100,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,1
1574706686926,13,HTTP Request,200,OK,Thread Group 1-101,text,true,,26121,115,1,1,http://192.168.16.69/,8,0,0
