timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1574706421724,73,HTTP Request,200,OK,Thread Group 1-1,text,true,,26121,115,1,1,http://192.168.16.70/,59,0,27
1574706421925,89,HTTP Request,200,OK,Thread Group 1-2,text,true,,26121,115,1,1,http://192.168.16.70/,55,0,1
1574706422126,93,HTTP Request,200,OK,Thread Group 1-3,text,true,,26121,115,1,1,http://192.168.16.70/,57,0,0
1574706422327,84,HTTP Request,200,OK,Thread Group 1-4,text,true,,26121,115,1,1,http://192.168.16.70/,50,0,1
1574706422525,86,HTTP Request,200,OK,Thread Group 1-5,text,true,,26121,115,1,1,http://192.168.16.70/,50,0,1
1574706422726,92,HTTP Request,200,OK,Thread Group 1-6,text,true,,26121,115,1,1,http://192.168.16.70/,53,0,1
1574706422925,23,HTTP Request,200,OK,Thread Group 1-7,text,true,,26121,115,1,1,http://192.168.16.70/,13,0,0
1574706423125,91,HTTP Request,200,OK,Thread Group 1-8,text,true,,26121,115,1,1,http://192.168.16.70/,52,0,1
1574706423324,96,HTTP Request,200,OK,Thread Group 1-9,text,true,,26121,115,1,1,http://192.168.16.70/,51,0,1
1574706423525,88,HTTP Request,200,OK,Thread Group 1-10,text,true,,26121,115,1,1,http://192.168.16.70/,50,0,1
1574706423726,97,HTTP Request,200,OK,Thread Group 1-11,text,true,,26121,115,1,1,http://192.168.16.70/,56,0,0
1574706423925,88,HTTP Request,200,OK,Thread Group 1-12,text,true,,26121,115,1,1,http://192.168.16.70/,54,0,1
1574706424125,90,HTTP Request,200,OK,Thread Group 1-13,text,true,,26121,115,1,1,http://192.168.16.70/,56,0,1
1574706424325,74,HTTP Request,200,OK,Thread Group 1-14,text,true,,26121,115,1,1,http://192.168.16.70/,51,0,1
1574706424525,44,HTTP Request,200,OK,Thread Group 1-15,text,true,,26121,115,1,1,http://192.168.16.70/,34,0,1
1574706424724,37,HTTP Request,200,OK,Thread Group 1-16,text,true,,26121,115,1,1,http://192.168.16.70/,23,0,1
1574706424925,86,HTTP Request,200,OK,Thread Group 1-17,text,true,,26121,115,1,1,http://192.168.16.70/,49,0,1
1574706425126,93,HTTP Request,200,OK,Thread Group 1-18,text,true,,26121,115,1,1,http://192.168.16.70/,57,0,3
1574706425325,87,HTTP Request,200,OK,Thread Group 1-19,text,true,,26121,115,1,1,http://192.168.16.70/,49,0,1
1574706425526,22,HTTP Request,200,OK,Thread Group 1-20,text,true,,26121,115,1,1,http://192.168.16.70/,15,0,0
1574706425725,43,HTTP Request,200,OK,Thread Group 1-21,text,true,,26121,115,1,1,http://192.168.16.70/,33,0,1
1574706425928,54,HTTP Request,200,OK,Thread Group 1-22,text,true,,26121,115,1,1,http://192.168.16.70/,42,0,1
1574706426127,20,HTTP Request,200,OK,Thread Group 1-23,text,true,,26121,115,1,1,http://192.168.16.70/,13,0,1
1574706426325,52,HTTP Request,200,OK,Thread Group 1-24,text,true,,26121,115,1,1,http://192.168.16.70/,42,0,2
